provider_name,course_name,unit,estimated_completion_time,building_block,building_block_short,video_duration,word_count,img_count,gif_count,table_count,code_rows_count,link_count,task_type,question_count,answer_count,points,audio_duration,graphics_count
FutureLearn,Fut-ENT,1_07,0,Exercise,e,0,0.0,0.0,0.0,0.0,0.0,,Choice,1.0,3.0,,0,0
FutureLearn,Fut-ENT,1_08,0,Audio,a,0,0.0,0.0,0.0,0.0,0.0,,NA,0.0,0.0,,114,0
FutureLearn,Fut-ENT,1_08,0,Text,t,0,329.0,0.0,0.0,0.0,0.0,,NA,0.0,0.0,,0,0
FutureLearn,Fut-ENT,1_08,0,Discussion,d,0,0.0,0.0,0.0,0.0,0.0,,NA,0.0,0.0,,0,0
FutureLearn,Fut-ENT,1_09,0,Text,t,0,277.0,1.0,0.0,0.0,0.0,,NA,0.0,0.0,,0,1
FutureLearn,Fut-ENT,1_09,0,Discussion,d,0,0.0,0.0,0.0,0.0,0.0,,NA,0.0,0.0,,0,0
FutureLearn,Fut-ENT,1_10,0,Text,t,0,425.0,1.0,0.0,0.0,0.0,,NA,0.0,0.0,,0,1
FutureLearn,Fut-ENT,1_10,0,Discussion,d,0,0.0,0.0,0.0,0.0,0.0,,NA,0.0,0.0,,0,0
FutureLearn,Fut-ENT,1_11,0,Text,t,0,329.0,1.0,0.0,1.0,0.0,,NA,0.0,0.0,,0,1
FutureLearn,Fut-ENT,1_11,0,Discussion,d,0,0.0,0.0,0.0,0.0,0.0,,NA,0.0,0.0,,0,0
FutureLearn,Fut-ENT,1_12,0,Text,t,0,349.0,1.0,0.0,0.0,0.0,,NA,0.0,0.0,,0,1
FutureLearn,Fut-ENT,1_12,0,Discussion,d,0,0.0,0.0,0.0,0.0,0.0,,NA,0.0,0.0,,0,0
FutureLearn,Fut-ENT,1_13,0,Text,t,0,71.0,0.0,0.0,0.0,0.0,,NA,0.0,0.0,,0,0
FutureLearn,Fut-ENT,1_13,0,Video,v,1082,0.0,0.0,0.0,0.0,0.0,,NA,0.0,0.0,,0,0
FutureLearn,Fut-ENT,1_13,0,Text,t,0,51.0,0.0,0.0,0.0,0.0,,NA,0.0,0.0,,0,0
FutureLearn,Fut-ENT,1_13,0,Discussion,d,0,0.0,0.0,0.0,0.0,0.0,,NA,0.0,0.0,,0,0
