provider_name,course_name,unit,chapter,section,unit_structure,unit_structure_filtered,building_block_unique,media_interaction_combination,building_block_count,building_block_changes_count,building_block_unique_count,has_exercises,only_exercises,multiple_exercise_blocks,starts_with_exercise,exercises_in_middle,ends_with_exercise,v_count,a_count,t_count,e_count,d_count,p_count,h_count,choice_count,coding_count,mapping_count,essay_count,short_answer_count,video_duration,audio_duration,word_count,text_duration,exercise_duration,poll_duration,discussion_duration,interaction_duration,media_duration,unit_duration,completion_time,video_proportion,media_proportion,interaction_count,interaction_density,interaction_density_other,0_media_1_interaction_count,0_media_2_interaction_count,1_media_0_interaction_count,1_media_1_interaction_count,1_media_2_interaction_count,1_media_3_interaction_count,2_media_0_interaction_count,2_media_1_interaction_count,2_media_2_interaction_count,2_media_3_interaction_count,graphics_count,code_rows_count,table_count,multi_codal
FutureLearn,Fut-EC,2_12,2,12,vtd,vtd,dtv,2-media-1-interaction,3,2,3,False,False,False,False,False,False,1,0,1,0,1,0,0,0,0,0,0,0,149,0,695,300,0.0,0,300,300.0,449,749.0,898.0,0.33184855233853006,0.6659242761692651,1,0.40053404539385845,0.0801068090787717,0,0,0,0,0,0,0,1,0,0,0,0,0,False
FutureLearn,Fut-EC,2_13,2,13,td,td,dt,1-media-1-interaction,2,1,2,False,False,False,False,False,False,0,0,1,0,1,0,0,0,0,0,0,0,0,0,453,240,0.0,0,300,300.0,240,540.0,540.0,0.0,0.4444444444444444,1,0.5555555555555556,0.1111111111111111,0,0,0,1,0,0,0,0,0,0,0,0,1,True
FutureLearn,Fut-EC,2_14,2,14,vtd,vtd,dtv,2-media-1-interaction,3,2,3,False,False,False,False,False,False,1,0,1,0,1,0,0,0,0,0,0,0,70,0,405,180,0.0,0,300,300.0,250,550.0,620.0,0.28,0.5161290322580645,1,0.5454545454545454,0.1090909090909091,0,0,0,0,0,0,0,1,0,0,0,0,0,False
FutureLearn,Fut-ENT,1_01,1,01,vtd,vtd,dtv,2-media-1-interaction,3,2,3,False,False,False,False,False,False,1,0,1,0,1,0,0,0,0,0,0,0,144,0,341,180,0.0,0,300,300.0,324,624.0,768.0,0.4444444444444444,0.609375,1,0.4807692307692308,0.09615384615384615,0,0,0,0,0,0,0,1,0,0,0,0,0,False
FutureLearn,Fut-ENT,1_02,1,02,tpd,tpd,dpt,1-media-2-interaction,3,2,3,False,False,False,False,False,False,0,0,1,0,1,1,0,0,0,0,0,0,0,0,168,120,0.0,120,300,420.0,120,540.0,540.0,0.0,0.2222222222222222,2,0.7777777777777778,0.2222222222222222,0,0,0,0,1,0,0,0,0,0,0,0,0,False
FutureLearn,Fut-ENT,1_03,1,03,td,td,dt,1-media-1-interaction,2,1,2,False,False,False,False,False,False,0,0,1,0,1,0,0,0,0,0,0,0,0,0,457,240,0.0,0,300,300.0,240,540.0,540.0,0.0,0.4444444444444444,1,0.5555555555555556,0.1111111111111111,0,0,0,1,0,0,0,0,0,0,2,0,0,True
FutureLearn,Fut-ENT,1_04,1,04,td,td,dt,1-media-1-interaction,2,1,2,False,False,False,False,False,False,0,0,1,0,1,0,0,0,0,0,0,0,0,0,127,60,0.0,0,300,300.0,60,360.0,360.0,0.0,0.16666666666666666,1,0.8333333333333334,0.16666666666666666,0,0,0,1,0,0,0,0,0,0,0,0,0,False
FutureLearn,Fut-ENT,1_05,1,05,td,td,dt,1-media-1-interaction,2,1,2,False,False,False,False,False,False,0,0,1,0,1,0,0,0,0,0,0,0,0,0,247,120,0.0,0,300,300.0,120,420.0,420.0,0.0,0.2857142857142857,1,0.7142857142857143,0.14285714285714285,0,0,0,1,0,0,0,0,0,0,1,0,0,True
FutureLearn,Fut-ENT,1_06,1,06,tvtd,tvtd,dtv,2-media-1-interaction,4,3,3,False,False,False,False,False,False,1,0,2,0,1,0,0,0,0,0,0,0,118,0,87,60,0.0,0,300,300.0,178,478.0,596.0,0.6629213483146067,0.4966442953020134,1,0.6276150627615062,0.12552301255230125,0,0,0,0,0,0,0,1,0,0,0,0,0,False
FutureLearn,Fut-ENT,1_07,1,07,eeee,e,e,0-media-1-interaction,4,0,1,True,True,False,False,False,False,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,1200.0,0,0,1200.0,0,1200.0,1200.0,,0.0,4,1.0,0.2,1,0,0,0,0,0,0,0,0,0,0,0,0,False
